Business Name,Profile,Catagories,Phone Number,Address,Rating,Reviews
S S K Architects Ltd,https://www.yell.com/biz/s-s-k-architects-ltd-pinner-6507469/,Architects Modern design spaces for you,07962 223141,"We serve London | Pinner, HA5",4.8,not available
Advance Architecture,https://www.yell.com/biz/advance-architecture-london-7580194/,Architects Dedicated in details design.,020 8801 6601,"352 Green Lanes, London, N13 5TJ",5.0,not available
Fitkov Norris Design Ltd,https://www.yell.com/biz/fitkov-norris-design-ltd-london-7134433/,Architects,020 8993 0230,"39 Avenue Gardens, London, W3 8HB",not available,not available
Canopy Planning Services,https://www.yell.com/biz/canopy-planning-services-sutton-7377065/,Architects Why Move When You Can Improve?,020 3632 2690,"We serve London | Sutton, SM1",5.0,not available
One Point Five Architecture,https://www.yell.com/biz/one-point-five-architecture-london-9812305/,"Architects Beautiful, practical, sustainable design",020 8983 3161,"12 Palmers Rd, London, E2 0SY",5.0,not available
Paul Evans (Design) Associates Ltd,https://www.yell.com/biz/paul-evans-design-associates-ltd-london-460102/,Architects,020 7607 8002,"9 Dalmeny Rd, London, N7 0HG",not available,not available
LCCL Construction,https://www.yell.com/biz/lccl-construction-london-901718987/,Architects Loft Conversions & Architecture Services,020 8037 7332,"3rd floor, Hathaway House, Popes Drive, London, N3 1QF",4.9,not available
GR Engineers,https://www.yell.com/biz/gr-engineers-romford-8779428/,Architects Structural Engineers & Architectural services,020 8599 3516,We serve London,5.0,not available
Ribo Associates Ltd,https://www.yell.com/biz/ribo-associates-ltd-croydon-8990354/,Architectural Services Over 30 years experience,020 8617 9182,"We serve London | Croydon, CR0",not available,not available
Derker Consult Ltd,https://www.yell.com/biz/derker-consult-ltd-london-901760642/,Building Consultants Helping you design success,07599 912622,We serve London,not available,not available
Stephen Hawes & Co Party Wall Surveyors Ltd,https://www.yell.com/biz/stephen-hawes-and-co-party-wall-surveyors-ltd-enfield-9693165/,"Party Wall Surveyors Local, Friendly and Professional",020 3974 2860,"We serve London | Enfield, EN3",5.0,not available
Xami Architecture and Design,https://www.yell.com/biz/xami-architecture-and-design-london-9597043/,"Architectural Services Architecture, design, planning",020 3907 6874,"151 Offord Rd, London, N1 1LR",not available,not available
RJF Architecture Ltd,https://www.yell.com/biz/rjf-architecture-ltd-london-10416109/,Architectural Services From perception to construction,07984 587345,We serve London,not available,not available
Mac-Jones Builders Ltd,https://www.yell.com/biz/mac-jones-builders-ltd-south-croydon-901759041/,House Extensions Professional Builders,07957 000597,"We serve London | South Croydon, CR2",4.5,not available
Livarch Ltd,https://www.yell.com/biz/livarch-ltd-ilford-8546085/,Architectural Services Dedicated to Excellent Customer Service,020 3376 5327,"We serve London | Ilford, IG2",4.5,not available
Ztudio11,https://www.yell.com/biz/ztudio11-london-10632967/,Architecture Design Create a workspace that inspires,020 7724 3274,We serve London,5.0,not available
Architectural Designs,https://www.yell.com/biz/architectural-designs-guildford-9850822/,Architectural Services Supporting you from concept to construction phase.,01483 339164,We serve London,5.0,not available
Planning Additions Ltd,https://www.yell.com/biz/planning-additions-ltd-new-malden-4626621/,Planning Consultants Architecture - Engineering - Planning,020 8286 6004,"We serve London | New Malden, KT3",4.8,not available
First for Party Wall Surveyors (Loughton),https://www.yell.com/biz/first-for-party-wall-surveyors-loughton-loughton-10509655/,Party Wall Surveyors Specialist Surveyors,020 8092 0710,"We serve London | Loughton, IG10",not available,not available
LP Consulting Services Ltd,https://www.yell.com/biz/lp-consulting-services-ltd-hemel-hempstead-10421457/,Building Consultants Consultancy Services with the “in house” approach,01442 500984,We serve London,not available,not available
IM Design & Build Ltd,https://www.yell.com/biz/im-design-and-build-ltd-london-9552827/,House Extensions Do It Right First Time!,07773 174254,"38 Jago Close, London, SE18 2TY",5.0,not available
A B P Chartered Architects,https://www.yell.com/biz/a-b-p-chartered-architects-thornton-heath-1928322/,RIBA Member Chartered Architects - Getting it Built,020 3861 4104,We serve London,5.0,not available
ABP Party Wall Services,https://www.yell.com/biz/abp-party-wall-services-thornton-heath-900421028/,Party Wall Surveyors Chartered Architects - Getting it Built,020 3947 5885,We serve London,4.9,not available
Cordomus,https://www.yell.com/biz/cordomus-london-901756774/,House Extensions AT THE HEART OF YOUR HOME,07752 567730,We serve London,not available,not available
A B P Party Wall Surveyors,https://www.yell.com/biz/a-b-p-party-wall-surveyors-thornton-heath-8235433/,Party Wall Surveyors Getting it built!,020 8653 9104,"We serve London | Thornton Heath, CR7",5.0,not available
Discount Plans Ltd,https://www.yell.com/biz/discount-plans-ltd-london-10062541/,"Architectural Services Clean Drawings, Clear Pricing",07838 135957,"9 Cheapside North Circular Rd, London, N13 5ED",4.2,not available
Ludian Harapaj Projects Limited,https://www.yell.com/biz/ludian-harapaj-projects-limited-edgware-10644202/,Architectural Services Designing spaces with a purpose,020 3954 8188,"We serve London | Edgware, HA8",5.0,not available
Samson Space Ltd,https://www.yell.com/biz/samson-space-ltd-london-901760545/,Architectural Services The Experts In Planning.,020 3793 2843,"265-267 High St, London, E15 2TF",5.0,not available
Kishor Planning And Delivery Limited,https://www.yell.com/biz/kishor-planning-and-delivery-limited-stanmore-901728845/,Planning Consultants,07568 472580,"We serve London | STANMORE, HA7",not available,not available
MEK Town Planning & Design Consultants Ltd,https://www.yell.com/biz/mek-town-planning-and-design-consultants-ltd-london-10058681/,House Extensions Providing you the best affordable service.,07506 208449,"Flat 14, Clive House, Haddo St, London, SE10 9RH",4.9,not available
Little Details Home Extension and Renovating Ltd,https://www.yell.com/biz/little-details-home-extension-and-renovating-ltd-london-901760346/,House Extensions We are a leading General Contractor Company,07876 402761,"586 Kingston Rd, London, SW20 8DN",not available,not available
ARK Drafting Studio,https://www.yell.com/biz/ark-drafting-studio-london-8419846/,Architects Architectural & Planning Services,020 3802 1808,"Croydon, London, SW16 4SD",5.0,not available
Chartered Practice Architects Ltd,https://www.yell.com/biz/chartered-practice-architects-ltd-london-416717/,Architects,020 3326 9304,"159 Askew Rd, London, W12 9AU",not available,not available
H O C A Practice,https://www.yell.com/biz/h-o-c-a-practice-london-4948916/,Architectural Services,01634 296663,"P.O Box 75572, London, SE12 2BZ",not available,not available
Mark Fairhurst Architects,https://www.yell.com/biz/mark-fairhurst-architects-london-7113525/,Architectural Services,020 7407 7070,"PO Box 76555, London, SE27 7DZ",not available,not available
Norman Green Architects,https://www.yell.com/biz/norman-green-architects-london-520654/,Architects,020 7836 8256,"6 Maiden Lane, London, WC2E 7NW",not available,not available
Terence O'Rourke Ltd,https://www.yell.com/biz/terence-o-rourke-ltd-london-4356787/,Planning Consultants,020 3664 6755,"3 Whitcomb St, London, WC2H 7HA",not available,not available
Andrew Wood Associates Ltd,https://www.yell.com/biz/andrew-wood-associates-ltd-london-10184527/,Architects,020 7684 1400,"118 Pall Mall, London, SW1Y 5ED",not available,not available
Elia Construction UK,https://www.yell.com/biz/elia-construction-uk-london-901628189/,House Extensions,020 3637 9290,"90 Long Acre, London, WC2E 9RZ",4.9,not available
Holder Mathias Architects,https://www.yell.com/biz/holder-mathias-architects-london-9271371/,Architects,020 7287 0735,"5th Floor Clareville House, 26-27 Oxendon St, London, SW1Y 4EL",not available,not available
Residential Design Solutions Ltd,https://www.yell.com/biz/residential-design-solutions-ltd-london-9001272/,Architects,020 8004 4464,"71-75 Shelton St, London, WC2H 9JQ",4.7,not available
Kohn Pedersen Fox Associates International PA,https://www.yell.com/biz/kohn-pedersen-fox-associates-international-pa-london-315207/,Architects,020 7836 6668,"13 Langley St, London, WC2H 9JG",not available,not available
Dominic Payte,https://www.yell.com/biz/dominic-payte-london-9292594/,Architects Chartered RIBA architect practice,020 3953 9241,"14 Hanover Square Mayfair, London, W1S 1HN",4.7,not available
Borgos Pieper Ltd,https://www.yell.com/biz/borgos-pieper-ltd-london-6756228/,Architects,020 7734 5994,"36-40, Rupert St, London, W1D 6DW",not available,not available
Paul McAneary Architects Ltd,https://www.yell.com/biz/paul-mcaneary-architects-ltd-london-6158127/,Architects,020 7240 0500,"6 Flitcroft St, London, WC2H 8DJ",not available,not available
W A T G,https://www.yell.com/biz/w-a-t-g-london-4290110/,Architects,020 7906 6600,"42 Earlham St, London, WC2H 9LA",not available,not available
PLANOKA LTD,https://www.yell.com/biz/planoka-ltd-london-901759044/,Architects The Easy Way to Renovate your Property.,02039 177810,"Monomark House, 27 Old Gloucester Street, LONDON, WC1N 3AX",5.0,not available
Stanhope Gate Architecture Ltd,https://www.yell.com/biz/stanhope-gate-architecture-ltd-london-8720861/,Architects,020 7451 0955,"5 St. James's Square, London, SW1Y 4JU",not available,not available
Mazina UK Ltd,https://www.yell.com/biz/mazina-uk-ltd-london-10408541/,Architectural Services,020 3440 7920,"Flat 1, 22, St. James's Square, London, SW1Y 4JH",not available,not available
Syte Architects,https://www.yell.com/biz/syte-architects-london-4698168/,Architects,020 7734 8310,"10 Golden Square, London, W1F 9JA",not available,not available
Sapphire Architecture,https://www.yell.com/biz/sapphire-architecture-london-9690277/,Architectural Services,020 3887 2929,"71-75 Shelton St, London, WC2H 9JQ",not available,not available
Source+ Ltd,https://www.yell.com/biz/source-ltd-london-9957226/,Architectural Services,0117 336 0327,"71-75 Shelton St, London, WC2H 9JQ",not available,not available
Planning Pros,https://www.yell.com/biz/planning-pros-london-9567923/,Planning Consultants,020 7305 5597,not available,not available,not available
Brimelow Mcsweeney Architects,https://www.yell.com/biz/brimelow-mcsweeney-architects-london-3466038/,Architects,020 7831 7835,"26 Great Queen St, London, WC2B 5BL",not available,not available
Scott Brownrigg Ltd,https://www.yell.com/biz/scott-brownrigg-ltd-london-3679066/,Architects,020 7240 7766,"77 Endell St, London, WC2H 9DZ",not available,not available
Alumno Developments Ltd,https://www.yell.com/biz/alumno-developments-ltd-london-7376856/,Property Development,020 7434 2384,"10 Frith St, London, W1D 3JF",not available,not available
A1 Design & Build Ltd,https://www.yell.com/biz/a1-design-and-build-ltd-london-10028036/,Property Development,020 7097 3959,"71-75 Shelton St, London, WC2H 9JQ",not available,not available
Nicholas Szczepaniak Architects,https://www.yell.com/biz/nicholas-szczepaniak-architects-london-9226243/,Architectural Services,020 7287 4424,"76 Brewer St, London, W1F 9TX",not available,not available
PBA,https://www.yell.com/biz/pba-london-6772801/,Architects,020 7004 7158,"3rd floor St. James's House 23, King St, London, SW1Y 6QY",not available,not available
David Chipperfield Architects Ltd,https://www.yell.com/biz/david-chipperfield-architects-ltd-london-5941692/,Architects,020 7620 4800,"1 Surrey St, London, WC2R 2ND",not available,not available
Gianni Botsford Architects Ltd,https://www.yell.com/biz/gianni-botsford-architects-ltd-london-3683805/,Architects,020 7434 2277,"83 Berwick St, London, W1F 8TS",not available,not available
Nick Cuddon Architects,https://www.yell.com/biz/nick-cuddon-architects-london-4482780/,Architects,020 7287 4466,"42 New Oxford St, London, WC1A 1EP",not available,not available
Adkins Consultants Ltd,https://www.yell.com/biz/adkins-consultants-ltd-london-9200595/,Party Wall Surveyors Help with Party Walls give Adkins a call,020 3954 8155,not available,5.0,not available
Johanna Molineus Architects Ltd,https://www.yell.com/biz/johanna-molineus-architects-ltd-london-4584084/,Architects,020 7734 8320,"22 Great Chapel St, London, W1F 8FR",not available,not available
Baynes & Mitchell Architects,https://www.yell.com/biz/baynes-and-mitchell-architects-london-4580514/,Architects,020 7734 0538,"28 Poland St, London, W1F 8QP",not available,not available
Gregory Phillips Architects,https://www.yell.com/biz/gregory-phillips-architects-london-4651960/,Architects,020 7724 3040,"17 Savile Row, London, W1S 3PN",not available,not available
Jonathan Clark Architects,https://www.yell.com/biz/jonathan-clark-architects-london-3817759/,Architects,020 7608 1111,"Elizabeth House 39 York Rd, London, SE1 7NQ",not available,not available
Peter Taylor Associates,https://www.yell.com/biz/peter-taylor-associates-london-6774354/,Architects,020 7495 3837,"25-26 Poland St, London, W1F 8QN",not available,not available
Nigel Bird Architects,https://www.yell.com/biz/nigel-bird-architects-london-8233842/,Architects,020 3770 7571,"Henry Wood House, 2, Riding House St, London, W1W 7FA",5.0,not available
Mcfarlane Latter Architects,https://www.yell.com/biz/mcfarlane-latter-architects-london-3180468/,Architects,020 7287 5565,"3 Clifford St, London, W1S 2LF",not available,not available
Llewelyn Davies,https://www.yell.com/biz/llewelyn-davies-london-7627484/,Architects,020 7907 7900,"3rd Floor The Rookery 2 Dyott St, London, WC1A 1DE",not available,not available
Barr Gazetas,https://www.yell.com/biz/barr-gazetas-london-2912998/,Architects,020 7636 5581,"19 Heddon St, London, W1B 4BG",not available,not available
Pimlico Building Ltd,https://www.yell.com/biz/pimlico-building-ltd-london-8767217/,Building Consultants,07930 966990,"83 Victoria St, London, SW1H 0HW",5.0,not available
James Gorst Architects,https://www.yell.com/biz/james-gorst-architects-london-2816617/,Architects,020 7336 7140,"Ruskin House, 40-41, Museum St, London, WC1A 1LT",not available,not available
Cohanim Architecture,https://www.yell.com/biz/cohanim-architecture-london-9676737/,Architects,020 3697 4197,"207 Regent St, London, W1B 3HH",5.0,not available
Ruffarchitects Ltd,https://www.yell.com/biz/ruffarchitects-ltd-london-8793063/,Architects,020 3814 8992,"205 Wardour St, London, W1F 8ZJ",not available,not available
Rodic Davidson Architects,https://www.yell.com/biz/rodic-davidson-architects-london-10093371/,Architects,020 7043 3551,"66a Great Russell St, London, WC1B 3BN",not available,not available
Gollifer Langston Architects,https://www.yell.com/biz/gollifer-langston-architects-london-3629649/,Architects,020 7734 2134,"25-26 Poland St, London, W1F 8QN",not available,not available
Gaunt Francis Architects,https://www.yell.com/biz/gaunt-francis-architects-london-4896070/,Architects,020 7629 3993,"31 Southampton Row, London, WC1B 5HJ",not available,not available
Rock Townsend Architects LLP,https://www.yell.com/biz/rock-townsend-architects-llp-london-5058494/,Architects,020 7261 9577,"The Old School Exton St, London, SE1 8UE",not available,not available
Prime Meridian Ltd,https://www.yell.com/biz/prime-meridian-ltd-london-3228060/,Architects,020 7494 3522,"2nd floor, 26a, Ganton St, London, W1F 7QZ",not available,not available
Studio Cullinan & Buck Architects Limited - Scabal,https://www.yell.com/biz/studio-cullinan-and-buck-architects-limited-scabal-london-4777549/,Architects,020 7033 8788,"193 Fleet St, London, EC4A 2AH",not available,not available
Jefferson Sheard Architects,https://www.yell.com/biz/jefferson-sheard-architects-london-5976364/,Architects,0114 276 1651,"10 Margaret St, London, W1W 8RL",not available,not available
Cayford Design,https://www.yell.com/biz/cayford-design-london-10255897/,Architects,07900 906020,"28 Poland St, London, W1F 8QP",not available,not available
Rodic Davidson Architects,https://www.yell.com/biz/rodic-davidson-architects-london-9787606/,Architects,020 7043 3551,"66A Great Russell Street, Bloomsbury, LONDON, WC1B 3BN",not available,not available
David Roden Architects Ltd,https://www.yell.com/biz/david-roden-architects-ltd-london-8797357/,Architects,020 3282 7119,"203 Westminster Bridge Rd, London, SE1 7FR",not available,not available
Glancy Nicholls Architects,https://www.yell.com/biz/glancy-nicholls-architects-london-8754744/,Architects,020 3727 5252,"26- 27 Bedford Square, London, WC1B 3HP",not available,not available
Burlington Gate Mayfair,https://www.yell.com/biz/burlington-gate-mayfair-london-9624922/,Property Development,020 7758 3188,"25 Cork St, London, W1S 3NB",not available,not available
Spparc,https://www.yell.com/biz/spparc-london-8094658/,Architects,020 7734 4100,"10 Bayley St, London, WC1B 3HB",not available,not available
3 D Reid,https://www.yell.com/biz/3-d-reid-london-8203088/,Architects,0345 271 6100,"Ramillies Buildings, 1-9, Hills Place, London, W1F 7SA",not available,not available
R.J Lattimore & Associates,https://www.yell.com/biz/r-j-lattimore-and-associates-london-317167/,Architects,020 7242 8180,"5/63a Great Russell St, London, WC1B 3BJ",not available,not available
Domonic Payte,https://www.yell.com/biz/domonic-payte-london-901758323/,Architects,020 7760 7566,"14 Hanover Square, LONDON, W1S 1HN",5.0,not available
Tony Fretton Architects,https://www.yell.com/biz/tony-fretton-architects-london-4689054/,Architects,020 7284 2000,"21 Berners St, London, W1T 3LP",not available,not available
Thor Architects,https://www.yell.com/biz/thor-architects-london-9064683/,Architects,020 7043 2303,"28a Lower Marsh, London, SE1 7RG",not available,not available
McCusker Storey McIntosh Architects Ltd,https://www.yell.com/biz/mccusker-storey-mcintosh-architects-ltd-london-4397768/,Architects,020 7928 6767,"The Old School Exton St, London, SE1 8UE",not available,not available
Tetrick Planning Ltd,https://www.yell.com/biz/tetrick-planning-ltd-london-10435990/,Planning Consultants,07763 430530,"203 Westminster Bridge Rd, London, SE1 7FR",not available,not available
KTB Ltd,https://www.yell.com/biz/ktb-ltd-london-9853726/,Architects,020 7207 4903,"15 Theed St, London, SE1 8ST",not available,not available
Dyer,https://www.yell.com/biz/dyer-london-7123776/,Architects,0845 450 5588,"Bridge House, 63-65, North Wharf Rd, London, W2 1LA",not available,not available
